Holding	Category	RebalancingWeight	CurrentWeight
Bitcoin (BTC)	Value	35.00 %	35.93 %
Ethereum (ETH)	Platform	10.00 %	9.87 %
Waves (WAVES)	Programmable Platform	7.00 %	8.03 %
Aragon (ANT)	Enterprise Management	7.00 %	6.69 %
TenX (PAY)	Debit Card	7.00 %	7.03 %
OmiseGO (OMG)	Decentralized Exchange and Payments Platform	7.00 %	7.19 %
Civic (CVC)	Identity Management	5.00 %	4.88 %
0x (ZRX)	Decentralized Exchange Protocol	5.00 %	4.79 %
Ardor (ARDR)	Blockchain as a Service	5.00 %	4.36 %
Dash (DASH)	Anonymity	4.00 %	3.95 %
Golem (GNT)	Decentralized Computing	3.00 %	2.53 %
Numeraire (NMR)	Hedge Fund	3.00 %	2.74 %
Cofound.it (CFI)	Crowdfunding Platform	2.00 %	2.02 %
